ID,Timestamp,Distance(km),Total_CO2(kg),Base_CO2(kg),Idle(sec),Start_Location,End_Location,Is_Synthetic
37,2026-05-05 10:35:36,50.0,10.357889404405151,9.73461538748139,300.00000000000006,"User Origin","User Destination",true
96,2026-05-05 09:05:45,24.521443939552437,5.431334282474588,2.9425732727462925,154.0,"Location: 30.4103169,77.9694904","Synthetic Dest",false
206,2026-05-05 09:02:47,26.179349358363048,4.9225297075774055,3.1415219230035656,482.0,"Location: 30.4103169,77.9694904","Synthetic Dest",false
94,2026-05-05 07:28:17,32.86291315954719,7.198933291121104,3.9435495791456625,280.0,"Location: 30.41623772,77.96864387","Synthetic Dest",false
141,2026-05-05 07:10:38,34.291034500835075,5.920666050215173,4.114924140100209,522.0,"Location: 30.4103288, 77.9695098","Synthetic Dest",false
92,2026-05-05 06:54:45,23.985378329726938,6.019578183998528,2.8782453995672324,569.0,"Location: 30.4102961, 77.9694988","Synthetic Dest",false
216,2026-05-05 05:55:19,15.634657925212116,4.010854019758896,1.8761589510254537,33.0,"Location: 30.41623696,77.9686324","Synthetic Dest",false
91,2026-05-05 05:44:05,13.585808176631337,2.35690515458567,1.6302969811957604,553.0,"Location: 30.4103169,77.9694904","Synthetic Dest",false
161,2026-05-05 05:39:33,9.687352791546505,2.860117470824494,1.1624823349855806,409.0,"Location: 30.4103318,77.9695103","Synthetic Dest",false
213,2026-05-05 05:31:09,17.728937824302083,2.9875863679087007,2.12747253891625,300.0,"Location: 30.41623772,77.96864387","Synthetic Dest",false
226,2026-05-05 04:54:02,8.732736653117074,1.4103441791180664,1.0479283983740488,191.0,"Location: 30.41623772,77.96864387","Synthetic Dest",false
110,2026-05-05 02:54:00,15.591304112213663,4.654935729728165,1.8709564934656395,532.0,"Location: 30.4102662,77.9695082","Synthetic Dest",false
105,2026-05-05 02:34:01,5.964306233386746,1.6461258822762679,0.7157167480064095,503.0,"Location: 30.4102961, 77.9694988","Synthetic Dest",false
249,2026-05-05 02:10:44,9.004870054592594,2.2573536220477113,1.0805844065511112,59.0,"Location: 30.4102945,77.9695041","Synthetic Dest",false
103,2026-05-05 01:32:08,32.03629969531136,8.805341086811215,3.8443559634373625,432.0,"Location: 30.4102662,77.9695082","Synthetic Dest",false
119,2026-05-05 01:31:59,24.28229679204799,5.454063677889593,2.9138756150457588,106.0,"Location: 30.41623696,77.9686324","Synthetic Dest",false
190,2026-05-05 01:23:02,5.722150608547095,1.233116735342557,0.6866580730256513,546.0,"Location: 30.41623696,77.9686324","Synthetic Dest",false
244,2026-05-05 01:14:12,15.454663243338455,2.879387464355047,1.8545595892006146,221.0,"Location: 30.4103402,77.9695098","Synthetic Dest",false
101,2026-05-05 01:11:13,20.84372516588502,3.5491958116742635,2.5012470199062022,582.0,"Location: 30.4103169,77.9694904","Synthetic Dest",false
97,2026-05-05 01:01:36,31.37816676128027,6.002588523116173,3.765380011353632,447.0,"Location: 30.4102961, 77.9694988","Synthetic Dest",false
247,2026-05-05 00:47:46,27.343965938259316,7.129075452380965,3.2812759125911177,559.0,"Location: 30.4102961, 77.9694988","Synthetic Dest",false
41,2026-05-05 00:22:54,8.263368670023919,2.1098804896629577,0.9916042404028702,224.0,"Location: 30.41623696,77.9686324","Synthetic Dest",false
88,2026-05-04 23:37:07,14.174389627516963,3.936227298009609,1.7009267553020355,293.0,"Location: 30.4103318,77.9695103","Synthetic Dest",false
